K,D_TSK,lam_o,lam_m,lam_wd,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9,avg
10,32,0.1000000014901161,0.1000000014901161,1.0,87.9173,86.8139,83.9426,81.6056,90.2427,91.2927,90.7068,91.7585,95.5546,97.2873,89.7122
15,48,0.1000000014901161,0.0099999997764825,0.0099999997764825,90.2527,88.0726,84.7923,84.9576,87.505,90.5132,91.3578,93.2342,94.7132,97.1621,90.2561
10,32,0.1000000014901161,1.0,1.0,87.9173,86.8139,83.9426,81.6056,90.2427,91.2927,90.7068,91.7585,95.5546,97.2873,89.7122
20,48,1.0,0.1000000014901161,0.0010000000474974,87.944,88.8455,86.7839,86.7137,86.5668,90.5332,92.3862,93.8051,94.9352,97.2406,90.5754
10,48,0.0010000000474974,0.0099999997764825,1.0,88.8605,84.6955,84.2565,85.7439,89.0708,89.7202,93.1841,92.4713,95.4728,96.8733,90.0349
20,64,0.0010000000474974,1.0,0.0010000000474974,89.7119,89.3212,87.0109,86.672,85.395,89.5299,91.6884,93.0122,95.855,97.4025,90.5599
20,32,0.1000000014901161,0.0010000000474974,0.0099999997764825,89.7887,88.8672,84.5536,84.8074,88.56,87.8556,89.0108,92.8903,95.2307,96.8166,89.8381
15,48,0.0010000000474974,0.0010000000474974,0.0099999997764825,91.3762,86.228,82.9945,87.8055,89.5132,91.4346,91.8636,94.2241,95.84,97.4559,90.8736
10,32,0.0099999997764825,1.0,0.0099999997764825,88.53,89.4331,83.5904,86.6069,87.303,90.8754,91.9671,92.3444,94.2825,97.1638,90.2097
10,48,1.0,1.0,0.0010000000474974,86.3866,87.5351,84.2431,87.5935,85.4851,89.7269,92.1658,94.1323,95.3425,97.3558,89.9967
15,48,0.1000000014901161,0.1000000014901161,0.0010000000474974,90.2527,88.0726,84.7923,84.9576,87.505,90.5132,91.3578,93.2342,94.7132,97.1621,90.2561
20,48,1.0,0.1000000014901161,0.1000000014901161,87.944,88.8455,86.7839,86.7137,86.5668,90.5332,92.3862,93.8051,94.9352,97.2406,90.5754
10,32,1.0,0.0010000000474974,0.1000000014901161,90.5616,84.971,84.577,82.0813,87.1945,91.7184,91.5815,92.3327,94.3293,97.1054,89.6453
15,48,0.0010000000474974,0.1000000014901161,0.0099999997764825,91.3762,86.228,82.9945,87.8055,89.5132,91.4346,91.8636,94.2241,95.84,97.4559,90.8736
20,48,1.0,0.0010000000474974,1.0,87.944,88.8455,86.7839,86.7137,86.5668,90.5332,92.3862,93.8051,94.9352,97.2406,90.5754
15,64,0.0099999997764825,0.1000000014901161,0.0010000000474974,88.7754,86.4333,88.3597,87.0827,87.2763,88.8121,91.5248,92.281,94.8334,97.3808,90.2759
10,64,0.0099999997764825,0.1000000014901161,0.0010000000474974,87.7471,87.8673,85.4016,87.5601,88.9673,92.261,91.0323,91.9705,96.072,97.1337,90.6013
20,48,0.1000000014901161,0.0099999997764825,1.0,90.4864,86.6687,85.6771,83.2782,88.7871,90.6951,89.1226,92.9854,94.4929,96.9284,89.9122
20,48,1.0,0.0099999997764825,0.1000000014901161,87.944,88.8455,86.7839,86.7137,86.5668,90.5332,92.3862,93.8051,94.9352,97.2406,90.5754
10,64,0.1000000014901161,0.0099999997764825,0.0010000000474974,86.238,86.0944,86.3999,85.6671,87.4382,89.807,91.857,93.3644,95.3642,97.2306,89.9461
15,48,0.1000000014901161,1.0,0.0010000000474974,90.2527,88.0726,84.7923,84.9576,87.505,90.5132,91.3578,93.2342,94.7132,97.1621,90.2561
20,64,0.0099999997764825,0.0099999997764825,1.0,88.6218,88.3313,81.5839,87.8806,85.8807,91.1942,93.6932,93.8401,95.4644,96.8249,90.3315
10,64,0.0010000000474974,0.1000000014901161,1.0,88.4766,88.0459,86.1679,86.5151,88.4148,91.6733,90.4898,92.6566,94.8835,97.1671,90.4491
20,48,0.1000000014901161,1.0,0.1000000014901161,90.4864,86.6687,85.6771,83.2782,88.7871,90.6951,89.1226,92.9854,94.4929,96.9284,89.9122
20,32,0.1000000014901161,0.0010000000474974,1.0,89.7887,88.8672,84.5536,84.8074,88.56,87.8556,89.0108,92.8903,95.2307,96.8166,89.8381
20,64,0.0099999997764825,0.0099999997764825,0.1000000014901161,88.6218,88.3313,81.5839,87.8806,85.8807,91.1942,93.6932,93.8401,95.4644,96.8249,90.3315
